root_time,mass_uptake
0,45352.94255
0.707106781,45352.52424
1,45351.93368
1.224744871,45351.24469
1.414213562,45350.44498
1.58113883,45349.4361
1.732050808,45348.3165
1.870828693,45347.14768
2,45345.79432
2.121320344,45344.2687
2.236067977,45342.52163
2.34520788,45340.72534
2.449489743,45338.83063
2.549509757,45336.72676
2.645751311,45334.61059
2.738612788,45332.39599
2.828427125,45330.14448
2.915475947,45327.79454
3,45325.32157
3.082207001,45322.8486
3.16227766,45320.31411
3.240370349,45317.66889
3.31662479,45314.97446
3.391164992,45312.24312
3.464101615,45309.49948
3.535533906,45306.59589
3.605551275,45303.60618
3.674234614,45300.57956
3.741657387,45297.54064
3.807886553,45294.48941
3.872983346,45291.35206
3.937003937,45288.1778
4,45284.89281
4.062019202,45281.49709
4.123105626,45278.03985
4.183300133,45274.47189
4.242640687,45270.76858
4.301162634,45267.00376
4.358898944,45263.12821
4.415880433,45259.27727
4.472135955,45255.27869
4.527692569,45251.2924
4.582575695,45247.30612
4.636809248,45243.31984
4.69041576,45239.34587
4.74341649,45235.28577
4.795831523,45231.26258
4.847679857,45227.17787
4.898979486,45223.06856
4.949747468,45218.87312
5,45214.62847
5.049752469,45210.43303
5.099019514,45206.20068
5.14781507,45201.93143
5.196152423,45197.64987
5.244044241,45193.36831
5.291502622,45189.08674
5.338539126,45184.71906
5.385164807,45180.38829
5.431390246,45176.0083
5.477225575,45171.5914
5.522680509,45167.1622
5.567764363,45162.80682
5.61248608,45158.47605
5.656854249,45154.09606
5.700877125,45149.67916
5.744562647,45145.33609
5.787918451,45140.93149
5.830951895,45136.5146
5.873670062,45132.0854
5.916079783,45127.64389
5.958187644,45123.20239
6,45118.68706
6.041522987,45114.28247
6.08276253,45109.85327
6.123724357,45105.42407
6.164414003,45100.98257
6.204836823,45096.62719
6.244997998,45092.29641
6.284902545,45087.91642
6.32455532,45083.57335
6.363961031,45079.341
6.403124237,45075.14556
6.442049363,45070.98704
6.480740698,45066.84081
6.519202405,45062.76841
6.557438524,45058.74522
6.595452979,45054.74663
6.633249581,45050.82187
6.670832032,45046.94632
6.708203932,45043.1815
6.745368782,45039.45359
6.782329983,45035.67647
6.819090848,45031.86243
6.8556546,45028.12222
6.892024376,45024.3451
6.92820323,45020.60488
6.964194139,45016.90158
7,45013.2967
7.03562364,45009.80255
7.071067812,45006.20998
7.106335202,45002.74044
7.141428429,44999.23399
7.176350047,44995.72754
7.211102551,44992.20879
7.245688373,44988.69003
7.280109889,44985.2451
7.314369419,44981.75095
7.348469228,44978.2568
7.38241153,44974.81187
7.416198487,44971.40385
7.449832213,44967.94661
7.483314774,44964.52628
7.516648189,44961.13056
7.549834435,44957.83327
7.582875444,44954.48676
7.615773106,44951.14025
7.64852927,44947.76914
7.681145748,44944.41033
7.71362431,44941.11304
7.745966692,44937.77883
7.778174593,44934.43233
7.810249676,44931.07352
7.842193571,44927.86235
7.874007874,44924.56505
7.90569415,44921.23085
7.937253933,44917.95816
7.968688725,44914.72238
8,44911.48661
8.031189202,44908.18931
8.062257748,44905.00275
8.093207028,44901.80388
8.124038405,44898.59271
8.154753215,44895.38154
8.185352772,44892.24419
8.215838363,44889.05763
8.246211251,44885.87106
8.276472679,44882.73371
8.306623863,44879.55945
8.336666,44876.44671
8.366600265,44873.34627
8.396427812,44870.27044
8.426149773,44867.1946
8.455767263,44864.13107
8.485281374,44861.06754
8.514693183,44858.00401
8.544003745,44854.94048
8.5732141,44851.95077
8.602325267,44848.92415
8.631338251,44845.87292
8.660254038,44842.89552
8.689073598,44839.95502
8.717797887,44836.95301
8.746427842,44833.91408
8.774964387,44830.86286
8.803408431,44827.81163
8.831760866,44824.7481
8.860022573,44821.68457
8.888194417,44818.69486
8.91627725,44815.68054
8.94427191,44812.78926
8.972179222,44809.88567
9,44806.89596
9.027735043,44803.88164
9.055385138,44800.90424
9.082951062,44798.04986
9.110433579,44795.08476
9.137833441,44792.07044
9.16515139,44789.17916
9.192388155,44786.28787
9.219544457,44783.38429
9.246621004,44780.39458
9.273618495,44777.36796
9.300537619,44774.47667
9.327379053,44771.58539
9.354143467,44768.75562
9.38083152,44765.80282
9.407443861,44762.80081
9.433981132,44759.8357
9.460443964,44756.83369
9.486832981,44753.86859
9.513148795,44750.85427
9.539392014,44747.88917
9.565563235,44744.96097
9.591663047,44742.1066
9.617692031,44739.22762
9.643650761,44736.26252
9.669539803,44733.32202
9.695359715,44730.39383
9.721111048,44727.47794
9.746794345,44724.47592
9.772410143,44721.53542
9.797958971,44718.59493
9.823441352,44715.67904
9.848857802,44712.76315
9.874208829,44709.84726
9.899494937,44706.93137
9.924716621,44704.02778
9.949874371,44701.03807
9.974968672,44698.01145
10,44694.96022
10.02496883,44691.98281
10.04987562,44689.04232
10.07472084,44686.0403
10.09950494,44683.0752
10.12422837,44680.07319
10.14889157,44677.10808
10.17349497,44674.16759
10.19803903,44671.17788
10.22252415,44668.21277
10.24695077,44665.21076
10.27131929,44662.24566
10.29563014,44659.23134
10.31988372,44656.19241
10.34408043,44653.21501
10.36822068,44650.20069
10.39230485,44647.23559
10.41633333,44644.22127
10.44030651,44641.25617
10.46422477,44638.16803
10.48808848,44635.01838
10.51189802,44631.90563
10.53565375,44628.8175
10.55935604,44625.74166
10.58300524,44622.51819
10.60660172,44619.38084
10.63014581,44616.26809
10.65363788,44613.11844
10.67707825,44609.84575
10.70046728,44606.52385
10.72380529,44603.26347
10.74709263,44600.01539
10.77032961,44596.70579
10.79351657,44593.37159
10.81665383,44590.0989
10.83974169,44586.85082
10.86278049,44583.61504
10.88577053,44580.39157
10.90871211,44577.1681
10.93160555,44573.94462
10.95445115,44570.65963
10.9772492,44567.39925
11,44564.16347
11.02270384,44560.92769
11.04536102,44557.71652
11.06797181,44554.49305
11.09053651,44551.3434
11.11305539,44548.16914
11.13552873,44544.89645
11.1579568,44541.57455
11.18033989,44538.22804
11.20267825,44534.86923
11.22497216,44531.49812
11.24722188,44528.13931
11.26942767,44524.84201
11.29158979,44521.50781
11.3137085,44518.23512
11.33578405,44514.98704
11.35781669,44511.67745
11.37980668,44508.34324
11.40175425,44504.98443
11.42365966,44501.69944
11.44552314,44498.36524
11.46734494,44495.01873
11.48912529,44491.73374
11.51086443,44488.41184
11.53256259,44485.06533
11.55422001,44481.70652
11.5758369,44478.33541
11.5974135,44475.05042
11.61895004,44471.71622
11.64044673,44468.44353
11.66190379,44465.12163
11.68332145,44461.689
11.70469991,44458.29328
11.7260394,44454.83604
11.74734012,44451.34189
11.7686023,44447.90926
11.78982612,44444.51354
11.81101181,44441.20395
11.83215957,44437.86974
11.85326959,44434.51093
11.87434209,44431.22594
11.89537725,44427.81792
11.91637529,44424.4345
11.93733639,44421.05108
11.95826074,44417.59385
11.97914855,44414.18582
12,44410.71628
12.02081528,44407.29596
12.04159458,44403.90024
12.06233808,44400.36918
12.08304597,44396.91194
12.10371844,44393.4301
12.12435565,44389.99747
12.1449578,44386.51562
12.16552506,44382.94766
12.18605761,44379.46581
12.20655562,44375.97167
12.22701926,44372.46522
12.24744871,44368.86034
12.26784415,44365.30468
12.28820573,44361.84744
12.30853363,44358.42711
12.32882801,44354.95757
12.34908904,44351.53724
12.36931688,44348.14152
12.38951169,44344.75811
12.40967365,44341.30087
12.42980289,44337.80672
12.4498996,44334.3864
12.46996391,44330.90455
12.489996,44327.4104
12.509996,44323.89165
12.52996409,44320.44672
12.5499004,44316.96487
12.56980509,44313.47073
12.58967831,44309.95197
12.60952021,44306.50704
12.62933094,44303.09902
12.64911064,44299.64178
12.66885946,44296.14763
12.68857754,44292.62888
12.70826503,44289.12243
12.72792206,44285.60367
12.74754878,44282.07262
12.76714533,44278.62768
12.78671185,44275.21966
12.80624847,44271.75012
12.82575534,44268.25597
12.84523258,44264.74952
12.86468033,44261.23077
12.88409873,44257.63819
12.9034879,44254.07023
12.92284798,44250.61299
12.94217911,44247.19266
12.9614814,44243.79694
12.98075499,44240.41353
13,44237.04241
13.01921657,44233.6713
13.03840481,44230.28788
13.05756486,44226.91677
13.07669683,44223.47183
13.09580085,44220.06381
13.11487705,44216.68039
13.13392554,44213.22316
13.15294644,44209.72901
13.17193987,44206.29638
13.19090596,44202.90066
13.20984481,44199.50494
13.22875656,44196.13382
13.2476413,44192.76271
13.26649916,44189.46542
13.28533026,44186.05739
13.3041347,44182.73549
13.32291259,44179.31517
13.34166406,44175.91945
13.36038922,44172.53603
13.37908816,44169.16492
13.39776101,44165.86762
13.41640786,44162.4596
13.43502884,44159.06388
13.45362405,44155.68046
13.47219359,44152.38317
13.49073756,44149.04896
13.50925609,44145.70246
13.52774926,44142.41747
13.54621718,44139.16939
13.56465997,44135.93361
13.58307771,44132.62401
13.60147051,44129.28981
13.61983847,44126.01712
13.6381817,44122.68292
13.65650028,44119.42253
13.67479433,44116.10063
13.69306394,44112.82795
13.7113092,44109.66599
13.72953022,44106.46712
13.74772708,44103.34208
13.7658999,44100.16782
13.78404875,44097.05507
13.80217374,44093.95463
13.82027496,44090.80498
13.8383525,44087.69223
13.85640646,44084.6041
13.87443693,44081.52826
13.89244399,44078.39091
13.91042774,44075.20435
13.92838828,44072.0793
13.94632568,44068.90504
13.96424004,44065.71848
13.98213145,44062.66725
14,44059.67754
14.01784577,44056.73704
14.03566885,44053.80885
14.05346932,44050.96678
14.07124728,44048.16162
14.0890028,44045.30725
14.10673598,44042.50209
14.12444689,44039.72153
14.14213562,44036.95328
14.15980226,44034.18503
14.17744688,44031.5029
14.19506957,44028.85769
14.2126704,44026.3109
14.23024947,44023.7272
14.24780685,44021.1435
14.26534262,44018.54749
14.28285686,44015.93919
14.30034965,44013.34318
14.31782106,44010.66106
14.33527119,44008.08966
14.35270009,44005.73972
14.37010786,44003.48821
14.38749457,44001.28592
14.40486029,43999.26817
14.4222051,43997.42267
14.43952908,43995.72481
14.45683229,43994.03925
14.47411483,43992.42751
14.49137675,43990.93881
14.50861813,43989.49932
14.52583905,43988.01062
14.54303957,43986.58343
14.56021978,43985.25467
14.57737974,43984.04894
14.59451952,43982.91704
14.6116392,43981.80974
14.62873884,43980.87468
14.64581852,43980.02575
14.6628783,43979.13991
14.67991826,43978.24177
14.69693846,43977.33132
14.71393897,43976.40857
14.73091986,43975.42431
14.7478812,43974.23088
14.76482306,43972.95134
14.7817455,43971.53645
14.79864859,43969.92472
14.81553239,43968.11613
14.83239697,43966.13529
14.8492424,43963.92069
14.86606875,43961.50923
14.88287607,43958.92553
14.89966443,43956.18189
14.91643389,43953.2783
14.93318452,43950.28859
14.94991639,43947.26197
14.96662955,43944.29687
14.98332406,43941.35637
15,43938.58812
15.01665742,43935.97982
15.03329638,43933.44533
15.04991694,43931.10769
15.06651917,43928.78236
15.08310313,43926.48164
15.09966887,43924.18092
15.11621646,43921.79407
15.13274595,43919.38262
15.14925741,43916.87274
15.16575089,43914.31364
15.18222645,43911.74225
15.19868415,43909.07242
15.21512405,43906.35339
15.23154621,43903.69587
15.24795068,43901.06295
15.26433752,43898.44234
15.28070679,43895.83403
15.29705854,43893.22573
15.31339283,43890.61742
15.32970972,43888.00911
15.34600925,43885.48693
15.3622915,43883.07548
15.3785565,43880.78706
15.39480432,43878.58476
15.41103501,43876.40707
15.42724862,43874.3155
15.44344521,43872.27315
15.45962483,43870.26771
15.47578754,43868.26226
15.49193338,43866.41676
15.50806242,43864.64508
15.5241747,43862.92261
15.54027027,43861.22475
15.55634919,43859.52689
15.5724115,43857.98898
15.58845727,43856.45106
15.60448653,43854.99927
15.62049935,43853.57208
15.63649577,43852.25562
15.65247584,43851.0622
15.66843962,43849.84417
15.68438714,43848.69996
15.70031847,43847.67878
15.71623365,43846.69452
15.73213272,43845.83328
15.74801575,43845.00896
15.76388277,43844.22155
15.77973384,43843.52026
15.795569,43842.85588
15.8113883,43842.30223
15.82719179,43841.78549
15.84297952,43841.37948
15.85875153,43841.02268
15.87450787,43840.76431
15.89024858,43840.64128
15.90597372,43840.57976
15.92168333,43840.54285
15.93737745,43840.53055
15.95305613,43840.67819
15.96871942,43840.89965
15.98436736,43841.24414
16,43841.65015
16.01561738,43842.15459
16.03121954,43842.79436
16.04680654,43843.49565
16.0623784,43844.22155
16.07793519,43845.04587
16.09347694,43845.91941
16.10900369,43846.81755
16.1245155,43847.80182
16.14001239,43848.8353
16.15549442,43849.88108
16.17096163,43850.86535
16.18641406,43851.89883
16.20185175,43853.01843
16.21727474,43854.05191
16.23268308,43855.09769
16.24807681,43856.15578
16.26345597,43857.22617
16.2788206,43858.37038
16.29417074,43859.5515
16.30950643,43860.91717
16.32482772,43862.43048
16.34013464,43864.18986
16.35542723,43866.07227
16.37070554,43868.15153
16.38596961,43870.34153
16.40121947,43872.59304
16.41645516,43874.85685
16.43167673,43877.07145
16.4468842,43879.32296
16.46207763,43881.45144
16.47725705,43883.43227
16.4924225,43885.26547
16.50757402,43886.79108
16.52271164,43888.09524
16.53783541,43889.27636
16.55294536,43890.33444
16.56804153,43891.31871
16.58312395,43892.04461
