root_time,mass_uptake
10.48808848,34501.74904
10.51189802,34515.29501
10.53565375,34528.81637
10.55935604,34542.16549
10.58300524,34555.35467
10.60660172,34568.45772
10.63014581,34581.52386
10.65363788,34594.41775
10.67707825,34607.1517
10.70046728,34619.79953
10.72380529,34632.41045
10.74709263,34644.92294
10.77032961,34657.38622
10.79351657,34669.73877
10.81665383,34682.05441
10.83974169,34694.33313
10.86278049,34706.45192
10.88577053,34718.49688
10.90871211,34730.33269
10.93160555,34742.23001
10.95445115,34754.00431
10.9772492,34765.71708
11,34777.39295
11.02270384,34788.98269
11.04536102,34800.52321
11.06797181,34811.8915
11.09053651,34823.16135
11.11305539,34834.32047
11.13552873,34845.40578
11.1579568,34856.47878
11.18033989,34867.52717
11.20267825,34878.48945
11.22497216,34889.41481
11.24722188,34900.31556
11.26942767,34911.13019
11.29158979,34921.90791
11.3137085,34932.5749
11.33578405,34943.20499
11.35781669,34953.79816
11.37980668,34964.3052
11.40175425,34974.77534
11.42365966,34985.13475
11.44552314,34995.45725
11.46734494,35005.75514
11.48912529,35015.88078
11.51086443,35025.9203
11.53256259,35035.99673
11.55422001,35046.02395
11.5758369,35056.01426
11.5974135,35065.99226
11.61895004,35075.95797
11.64044673,35085.84985
11.66190379,35095.61869
11.68332145,35105.32602
11.70469991,35114.93493
11.7260394,35124.4208
11.74734012,35133.90667
11.7686023,35143.40485
11.78982612,35152.8292
11.81101181,35162.20434
11.83215957,35171.6533
11.85326959,35181.05305
11.87434209,35190.41589
11.89537725,35199.7049
11.91637529,35208.94471
11.93733639,35218.15991
11.95826074,35227.21516
11.97914855,35236.25811
12,35245.22724
12.02081528,35254.15946
12.04159458,35263.06708
12.06233808,35271.88857
12.08304597,35280.67315
12.10371844,35289.42082
12.12435565,35298.16849
12.1449578,35306.83004
12.16552506,35315.45468
12.18605761,35324.06701
12.20655562,35332.65474
12.22701926,35341.24247
12.24744871,35349.67025
12.26784415,35358.09803
12.28820573,35366.452
12.30853363,35374.76905
12.32882801,35383.0615
12.34908904,35391.26782
12.36931688,35399.51106
12.38951169,35407.7789
12.40967365,35415.96062
12.42980289,35424.11773
12.4498996,35432.26253
12.46996391,35440.39504
12.489996,35448.3676
12.509996,35456.25404
12.52996409,35464.18969
12.5499004,35472.13764
12.56980509,35480.02408
12.58967831,35487.87361
12.60952021,35495.78465
12.62933094,35503.64648
12.64911064,35511.48371
12.66885946,35519.16099
12.68857754,35526.82596
12.70826503,35534.41712
12.72792206,35542.04519
12.74754878,35549.61174
12.76714533,35557.15368
12.78671185,35564.74484
12.80624847,35572.29909
12.82575534,35579.84103
12.84523258,35587.28455
12.86468033,35594.75267
12.88409873,35602.17159
12.9034879,35609.55359
12.92284798,35616.93559
12.94217911,35624.29298
12.9614814,35631.57655
12.98075499,35638.82322
13,35646.04528
13.01921657,35653.25503
13.03840481,35660.46478
13.05756486,35667.58841
13.07669683,35674.76126
13.09580085,35681.86028
13.11487705,35688.947
13.13392554,35695.9353
13.15294644,35702.87438
13.17193987,35709.87498
13.19090596,35716.81406
13.20984481,35723.74083
13.22875656,35730.643
13.2476413,35737.54518
13.26649916,35744.37353
13.28533026,35751.15266
13.3041347,35757.9195
13.32291259,35764.74785
13.34166406,35771.45317
13.36038922,35778.10927
13.37908816,35784.80228
13.39776101,35791.44608
13.41640786,35798.06528
13.43502884,35804.58605
13.45362405,35811.14372
13.47219359,35817.7137
13.49073756,35824.29599
13.50925609,35830.80445
13.52774926,35837.28831
13.54621718,35843.73526
13.56465997,35850.1822
13.58307771,35856.62915
13.60147051,35862.98997
13.61983847,35869.38771
13.6381817,35875.72393
13.65650028,35882.03554
13.67479433,35888.33484
13.69306394,35894.62185
13.7113092,35900.83503
13.72953022,35907.01131
13.74772708,35913.23679
13.7658999,35919.48689
13.78404875,35925.68777
13.80217374,35931.83943
13.82027496,35937.9911
13.8383525,35944.13047
13.85640646,35950.25753
13.87443693,35956.31077
13.89244399,35962.41322
13.91042774,35968.51568
13.92838828,35974.64274
13.94632568,35980.68367
13.96424004,35986.7
13.98213145,35992.69173
14,35998.60963
14.01784577,36004.46602
14.03566885,36010.32241
14.05346932,36016.15419
14.07124728,36021.89984
14.0890028,36027.69471
14.10673598,36033.50189
14.12444689,36039.30906
14.14213562,36045.12854
14.15980226,36050.94802
14.17744688,36056.85362
14.19506957,36062.63618
14.2126704,36068.44336
14.23024947,36074.17671
14.24780685,36079.88546
14.26534262,36085.5696
14.28285686,36091.16762
14.30034965,36096.80254
14.31782106,36102.37596
14.33527119,36107.92476
14.35270009,36113.53508
14.37010786,36119.09619
14.38749457,36124.64499
14.40486029,36130.24301
14.4222051,36135.87794
14.43952908,36141.53747
14.45683229,36147.04936
14.47411483,36152.56126
14.49137675,36158.07315
14.50861813,36163.51123
14.52583905,36168.91239
14.54303957,36174.30125
14.56021978,36179.6655
14.57737974,36185.11588
14.59451952,36190.59086
14.6116392,36196.01663
