root_time,mass_uptake
0,2149.832827
0.70711,2150.917506
1,2152.002184
1.22474,2153.629202
1.41421,2154.713881
1.58114,2155.798559
1.73205,2156.883238
1.87083,2227.387342
2,3162.380226
2.12132,4884.849716
2.23607,7040.648276
2.34521,9410.128503
2.44949,11891.33062
2.54951,14368.19402
2.64575,16023.95578
2.73861,16925.86597
2.82843,17422.64873
2.91548,17732.32445
3,17955.76823
3.08221,18139.62123
3.16228,18305.03471
3.24037,18461.77076
3.31662,18614.71043
3.39116,18764.9384
3.4641,18913.53936
3.53553,19060.5133
3.60555,19205.31788
3.67423,19348.49545
3.74166,19488.96131
3.80789,19626.71549
3.87298,19762.3003
3.937,19894.63108
4,20023.70782
4.06202,20150.61521
4.12311,20273.72622
4.1833,20394.12554
4.24264,20511.27082
4.30116,20625.16206
4.3589,20736.88395
4.41588,20845.3518
4.47214,20951.10796
4.52769,21054.15242
4.58258,21155.02752
4.63681,21252.64859
4.69042,21348.64264
4.74342,21441.38265
4.79583,21532.49565
4.84768,21621.43929
4.89898,21708.21357
4.94975,21793.36083
5,21875.7964
5.04975,21957.14729
5.09902,22036.32882
5.14782,22113.88333
5.19615,22190.35317
5.24404,22264.65365
5.2915,22337.86945
5.33854,22410.00057
5.38516,22479.96233
5.43139,22548.83942
5.47723,22616.63183
5.52268,22682.79722
5.56776,22747.87793
5.61249,22811.87396
5.65685,22874.24298
5.70088,22936.06965
5.74456,22996.81165
5.78792,23057.01131
5.83095,23115.58395
5.87367,23173.61425
5.91608,23231.10221
5.95819,23286.96315
6,23342.28176
6.04152,23396.51568
6.08276,23449.66493
6.12372,23502.27184
6.16441,23554.33641
6.20484,23604.77396
6.245,23654.66917
6.2849,23703.4797
6.32456,23751.20556
6.36396,23797.84674
6.40312,23843.40323
6.44205,23887.87505
6.48074,23931.26219
6.5192,23973.56466
6.55744,24015.32478
6.59545,24056.54256
6.63325,24096.67567
6.67083,24136.26643
6.7082,24175.31486
6.74537,24213.82095
6.78233,24251.7847
6.81909,24288.66377
6.85565,24325.0005
6.89202,24360.79489
6.9282,24396.04694
6.96419,24430.75665
7,24464.92403
7.03562,24498.00672
7.07107,24530.54708
7.10634,24563.08743
7.14143,24594.54311
7.17635,24625.45645
7.2111,24655.82745
7.24569,24685.65611
7.28011,24714.94243
7.31437,24744.22875
7.34847,24772.43039
7.38241,24800.08969
7.4162,24827.74899
7.44983,24854.86595
7.48331,24880.89824
7.51665,24906.93052
7.54983,24932.42047
7.58288,24957.36807
7.61577,24981.77334
7.64853,25005.63627
7.68115,25028.95686
7.71362,25052.27745
7.74597,25074.51335
7.77817,25096.74926
7.81025,25118.44283
7.84219,25140.13641
7.87401,25160.7453
7.90569,25181.35419
7.93725,25201.42074
7.96869,25221.48729
8,25241.01151
8.03119,25259.99338
8.06226,25278.43292
8.09321,25296.87245
8.12404,25314.76965
8.15475,25331.58216
8.18535,25348.39468
8.21584,25364.12252
8.24621,25379.85036
8.27647,25395.03586
8.30662,25410.22136
8.33667,25425.40686
8.3666,25440.59236
8.39643,25456.32019
8.42615,25471.50569
8.45577,25486.69119
8.48528,25502.41903
8.51469,25518.14687
8.544,25533.87471
8.57321,25549.60255
8.60233,25564.78805
8.63134,25580.51588
8.66025,25596.24372
8.68907,25611.42922
8.7178,25627.15706
8.74643,25642.34256
8.77496,25657.52806
8.80341,25673.2559
8.83176,25688.4414
8.86002,25703.6269
8.88819,25719.35474
8.91628,25734.54023
8.94427,25749.72573
8.97218,25764.91123
9,25780.09673
9.02774,25795.82457
9.05539,25811.01007
9.08295,25826.19557
9.11043,25841.38107
9.13783,25856.56657
9.16515,25871.75207
9.19239,25886.93757
9.21954,25902.12307
9.24662,25917.30857
9.27362,25931.95173
9.30054,25947.13722
9.32738,25962.32272
9.35414,25976.96588
9.38083,25992.15138
9.40744,26006.2522
9.43398,26020.89536
9.46044,26035.53852
9.48683,26049.63934
9.51315,26064.2825
9.53939,26078.38333
9.56556,26092.48415
9.59166,26106.58497
9.61769,26120.14345
9.64365,26134.24427
9.66954,26147.80275
9.69536,26161.36123
9.72111,26174.91971
9.74679,26187.93586
9.77241,26201.49434
9.79796,26214.51048
9.82344,26227.52662
9.84886,26240.54276
9.87421,26253.55891
9.89949,26266.03271
9.92472,26278.50651
9.94987,26290.98032
9.97497,26303.45412
10,26315.38558
10.02497,26327.31705
10.04988,26339.79085
10.07472,26351.72231
10.0995,26363.11144
10.12423,26375.0429
10.14889,26386.43203
10.17349,26397.82115
10.19804,26409.21027
10.22252,26420.05706
10.24695,26431.44618
10.27132,26442.29297
10.29563,26453.13975
10.31988,26463.98654
10.34408,26474.29099
10.36822,26485.13777
10.3923,26495.44222
10.41633,26505.74666
10.44031,26516.05111
10.46422,26526.35555
10.48809,26536.11766
10.5119,26546.42211
10.53565,26556.18421
10.55936,26565.94632
10.58301,26575.16609
10.6066,26584.38586
10.63015,26593.06328
10.65364,26602.28305
10.67708,26610.96048
10.70047,26620.18025
10.72381,26628.85767
10.74709,26638.61978
10.77033,26647.29721
10.79352,26656.51698
10.81665,26665.73674
10.83974,26674.41417
10.86278,26683.0916
10.88577,26691.76903
10.90871,26700.44646
10.93161,26709.12388
10.95445,26717.80131
10.97725,26725.9364
11,26734.61383
11.0227,26742.74892
11.04536,26750.34167
11.06797,26758.47676
11.09054,26766.06951
11.11306,26773.66226
11.13553,26781.25501
11.15796,26788.84776
11.18034,26796.98285
11.20268,26804.57559
11.22497,26812.71068
11.24722,26820.30343
11.26943,26827.89618
11.29159,26836.03127
11.31371,26843.62402
11.33578,26851.21677
11.35782,26858.80952
11.37981,26865.85993
11.40175,26873.45268
11.42366,26880.50309
11.44552,26887.5535
11.46734,26894.60391
11.48913,26902.19666
11.51086,26909.24707
11.53256,26916.29748
11.55422,26923.34789
11.57584,26930.3983
11.59741,26937.44871
11.61895,26944.49912
11.64045,26951.54953
11.6619,26958.59994
11.68332,26965.10802
11.7047,26972.15843
11.72604,26978.6665
11.74734,26985.71691
11.7686,26991.68264
11.78983,26998.73305
11.81101,27005.24112
11.83216,27011.74919
11.85327,27018.25726
11.87434,27024.76533
11.89538,27031.27341
11.91638,27037.78148
11.93734,27044.28955
11.95826,27050.79762
11.97915,27056.76335
12,27063.27142
12.02082,27069.77949
12.04159,27075.74522
12.06234,27082.2533
