root_time,mass_uptake
11.33578,34165.74637
11.35782,34161.95
11.37981,34158.69596
11.40175,34155.44193
11.42366,34152.73023
11.44552,34150.56087
11.46734,34147.84918
11.48913,34145.13748
11.51086,34142.42578
11.53256,34139.71409
11.55422,34137.00239
11.57584,34134.2907
11.59741,34131.579
11.61895,34128.8673
11.64045,34126.15561
11.6619,34123.44391
11.68332,34120.18988
11.7047,34117.47818
11.72604,34114.22414
11.74734,34110.97011
11.7686,34107.71607
11.78983,34104.46204
11.81101,34101.208
11.83216,34097.41163
11.85327,34094.15759
11.87434,34090.90356
11.89538,34087.10718
11.91638,34083.85314
11.93734,34080.59911
11.95826,34076.80273
11.97915,34073.00636
12,34069.75232
12.02082,34065.95595
12.04159,34062.15957
12.06234,34058.3632
12.08305,34054.56682
12.10372,34050.77045
12.12436,34046.97407
12.14496,34042.63536
12.16553,34038.83899
12.18606,34034.50027
12.20656,34030.7039
12.22702,34026.36518
12.24745,34022.56881
12.26784,34018.23009
12.28821,34013.89138
12.30853,34010.09501
12.32883,34005.75629
12.34909,34001.41758
12.36932,33997.07886
12.38951,33992.74015
12.40967,33987.8591
12.4298,33983.52038
12.4499,33978.63933
12.46996,33974.30061
12.49,33969.41956
12.51,33964.53851
12.52996,33959.65745
12.5499,33954.7764
12.56981,33949.35301
12.58968,33944.47195
12.60952,33939.04856
12.62933,33934.16751
12.64911,33928.74412
12.66886,33923.32072
12.68858,33917.89733
12.70827,33912.47394
12.72792,33907.05055
12.74755,33901.62715
12.76715,33895.66142
12.78671,33890.23803
12.80625,33885.35698
12.82576,33880.47592
12.84523,33875.59487
12.86468,33871.25615
12.8841,33866.91744
12.90349,33862.57873
12.92285,33858.24001
12.94218,33853.9013
12.96148,33849.56258
12.98075,33844.68153
13,33839.80048
13.01922,33834.37708
13.0384,33829.49603
13.05756,33824.61498
13.0767,33820.27626
13.0958,33815.93755
13.11488,33812.14118
13.13393,33808.3448
13.15295,33805.09076
13.17194,33801.29439
13.19091,33798.04035
13.20984,33794.24398
13.22876,33790.98994
13.24764,33787.19357
13.2665,33783.93953
13.28533,33780.14316
13.30413,33776.88912
13.32291,33773.09275
13.34166,33769.83871
13.36039,33766.04234
13.37909,33762.7883
13.39776,33758.99193
13.41641,33755.73789
13.43503,33751.94152
13.45362,33748.68748
13.47219,33744.89111
13.49074,33741.63707
13.50926,33737.8407
13.52775,33734.58666
13.54622,33730.79029
13.56466,33727.53625
13.58308,33723.73988
13.60147,33720.48584
13.61984,33716.68947
13.63818,33713.43543
13.6565,33710.18139
13.67479,33706.92736
13.69306,33703.13098
13.71131,33699.87695
13.72953,33696.08057
13.74773,33692.2842
13.7659,33689.03016
13.78405,33685.23379
13.80217,33681.43741
13.82027,33677.64104
13.83835,33673.84466
13.85641,33670.04829
13.87444,33666.25191
13.89244,33662.45554
13.91043,33659.2015
13.92839,33655.40513
13.94633,33651.06642
13.96424,33647.81238
13.98213,33643.47367
14,33639.67729
14.01785,33635.88092
14.03567,33631.5422
14.05347,33627.74583
14.07125,33623.94945
14.089,33619.61074
14.10674,33615.81436
14.12445,33612.01799
14.14214,33608.22161
14.1598,33603.8829
14.17745,33600.08652
14.19507,33595.74781
14.21267,33591.95144
14.23025,33587.61272
14.24781,33583.81635
14.26534,33580.01997
14.28286,33576.76594
14.30035,33573.5119
14.31782,33570.25787
14.33527,33567.54617
14.3527,33564.83447
14.37011,33561.58044
